fecha,monto,producto,region,vendedor,canal
2023-07-17,35849.0,Laptop,Norte,,Distribuidor
2022-07-21,91813.0,Monitor,Norte,Ana,Tienda
2022-06-30,129059.0,Laptop,Sur,Luis,Online
2022-12-14,126446.0,Monitor,,Juan,Online
2023-10-09,34971.0,Monitor,,Pedro,Online
2023-01-31,20212.0,,Centro,Ana,Online
2022-01-15,74036.0,,Norte,Luis,Online
2023-03-18,131156.0,Teclado,,Pedro,Online
2023-10-04,113512.0,,Sur,Pedro,Tienda
2023-04-12,39520.0,,Centro,Luis,Distribuidor
2023-10-15,131619.0,Laptop,Norte,Luis,Tienda
2022-12-12,115405.0,Laptop,Norte,Ana,Tienda
2022-05-08,199195.0,Laptop,Sur,Juan,
2024-07-17,15054.0,Mouse,Centro,,Distribuidor
2022-04-25,171536.0,,Sur,Juan,Distribuidor
2023-08-28,67558.0,Laptop,Centro,María,Online
2022-05-03,105070.0,,Centro,María,Online
2023-04-16,119293.0,Mouse,Centro,Juan,Online
2024-07-22,112687.0,Laptop,Sur,María,Online
2022-05-27,178743.0,Mouse,Norte,Juan,
2024-01-22,89936.0,Mouse,,Ana,Online
2024-08-15,95281.0,Monitor,,Luis,Tienda
2024-10-13,73143.0,Mouse,,Luis,Distribuidor
2022-03-17,77500.0,Laptop,Norte,María,Online
2024-07-02,50863.0,Laptop,Centro,Luis,Online
2022-07-10,146646.0,Teclado,Centro,Luis,Online
2022-08-05,147615.0,Laptop,Centro,Juan,Online
2023-10-11,56907.0,Teclado,Sur,María,Tienda
2024-03-15,117285.0,Monitor,Norte,Pedro,Online
2022-02-16,52044.0,Monitor,Centro,Luis,Tienda
2023-09-20,91005.0,Teclado,Centro,Juan,Tienda
2023-12-05,21942.0,Teclado,Sur,Luis,Online
2022-06-03,75675.0,,Centro,María,Online
2024-10-16,36448.0,,Centro,Juan,Tienda
2023-01-28,58902.0,Monitor,Norte,Pedro,Online
2023-03-08,11811.0,Mouse,,Ana,Tienda
2024-10-18,91489.0,Laptop,Norte,María,Distribuidor
2024-11-26,143666.0,Laptop,,Juan,Online
2024-04-11,69613.0,Monitor,Sur,Ana,Online
2022-12-04,88640.0,Teclado,Centro,Juan,Tienda
2024-11-04,12697.0,Laptop,Norte,,Tienda
2022-09-03,85299.0,Monitor,Centro,Juan,Tienda
2022-12-04,51247.0,Teclado,Sur,,Tienda
2023-04-15,115533.0,Laptop,Centro,Luis,Distribuidor
2023-11-28,80956.0,Teclado,,María,Tienda
2024-08-15,64715.0,,Norte,Luis,Online
2022-05-31,61829.0,Teclado,Centro,Luis,Distribuidor
2023-01-05,101431.0,Teclado,,María,Online
2022-10-16,120342.0,Monitor,Centro,Ana,Online
2022-07-07,116553.0,Laptop,Sur,María,Online
2022-08-08,124992.0,Monitor,Centro,María,Distribuidor
2024-04-05,40769.0,Laptop,Sur,Pedro,
2024-12-17,70015.0,Teclado,Sur,Luis,Distribuidor
2024-05-10,71686.0,Teclado,Norte,Luis,Tienda
2024-10-11,143543.0,Mouse,Sur,Juan,Distribuidor
2023-10-19,67643.0,Laptop,Sur,María,Online
2022-01-02,37212.0,Monitor,Centro,Pedro,Distribuidor
2024-01-20,81454.0,,,,Tienda
2023-09-09,64347.0,Monitor,Norte,Juan,Online
2023-07-29,129526.0,Monitor,Sur,Juan,Tienda
2024-05-01,82226.0,Teclado,Sur,María,Online
2023-08-19,64350.0,,Norte,Ana,Tienda
2023-06-09,8743.0,,Norte,,Distribuidor
2023-11-19,42597.0,Monitor,Norte,María,Distribuidor
2024-08-15,105797.0,Mouse,Norte,Luis,Tienda
2024-07-09,120156.0,Mouse,Norte,,Tienda
2023-05-31,91966.0,Mouse,Centro,Pedro,Online
2022-09-04,84393.0,Laptop,Sur,Pedro,Online
2022-11-01,164427.0,Laptop,Centro,Pedro,Tienda
2022-06-04,4896.0,,Centro,Juan,Tienda
2023-09-26,74439.0,Laptop,,Juan,
2024-12-17,59598.0,Mouse,Centro,Ana,Online
2023-02-01,39719.0,Laptop,Norte,Juan,Tienda
2023-05-14,65640.0,Laptop,Norte,Luis,Tienda
2022-07-09,109404.0,Monitor,Sur,María,Online
2024-01-19,126946.0,,,Juan,Online
2024-11-14,116608.0,Mouse,,Luis,Online
2023-05-12,81902.0,Mouse,Norte,María,Online
2024-06-02,14496.0,Laptop,,Pedro,Online
2023-08-30,76770.0,,,María,Online
2024-12-01,102665.0,Laptop,Sur,Pedro,Distribuidor
2023-02-12,96095.0,Teclado,Centro,Ana,Online
2023-08-11,8028.0,Teclado,Centro,María,Distribuidor
2022-11-12,67160.0,,Sur,María,Tienda
2024-07-18,143833.0,Laptop,Norte,María,Online
2024-05-20,112989.0,Laptop,Sur,María,Distribuidor
2024-05-06,96148.0,,,Luis,Tienda
2023-01-22,98991.0,Laptop,Sur,Pedro,Tienda
2024-10-08,61252.0,Mouse,Norte,Pedro,Tienda
2024-11-10,59362.0,Laptop,Centro,Luis,Tienda
2022-06-02,137694.0,Mouse,Centro,Juan,Online
2024-12-29,153867.0,Teclado,Norte,Pedro,Online
2022-12-02,356304.0,Laptop,Sur,Luis,Tienda
2023-06-06,58243.0,Mouse,Sur,Juan,Tienda
2022-04-09,41099.0,Monitor,Centro,Juan,Distribuidor
2023-07-20,93765.0,Teclado,Sur,Juan,Online
2024-09-07,56660.0,Teclado,Centro,Pedro,
2023-08-16,32699.0,Mouse,Centro,Ana,Tienda
2022-10-23,116880.0,,Sur,María,Online
2024-02-24,37098.0,Teclado,Sur,María,Online
2024-04-28,40863.0,,Sur,Ana,Online
2024-01-03,147180.0,Laptop,,Pedro,Tienda
2023-04-05,106019.0,Teclado,Norte,Ana,Online
2024-07-01,175622.0,Mouse,Norte,Juan,Distribuidor
2023-11-16,89620.0,Mouse,Centro,Luis,Tienda
2023-03-21,382208.0,,Norte,,Tienda
2022-06-11,104249.0,Mouse,Sur,Ana,Online
2022-01-12,95328.0,Laptop,Norte,Pedro,Online
2022-01-09,135042.0,Monitor,Centro,,Tienda
2024-08-30,104921.0,Mouse,Sur,Pedro,Tienda
2022-02-08,70044.0,Laptop,Sur,Juan,Online
2024-06-30,13383.0,Teclado,Sur,Pedro,Tienda
2024-07-08,56424.0,,Norte,María,Distribuidor
2024-11-30,46175.0,Laptop,Centro,Pedro,Tienda
2024-08-27,54342.0,Mouse,Centro,Juan,Tienda
2024-08-29,61803.0,Monitor,Sur,Juan,Online
2022-11-10,84186.0,Laptop,Centro,Pedro,Tienda
2023-11-13,201695.0,Mouse,Sur,Luis,Tienda
2022-09-11,38615.0,Monitor,Centro,María,Tienda
2024-05-28,118444.0,Laptop,Centro,Luis,Online
2022-05-02,108262.0,,Centro,Juan,Online
2022-09-26,72325.0,Laptop,Centro,,Distribuidor
2024-02-03,380388.0,Monitor,,María,Online
2024-12-08,152835.0,,,María,Tienda
2023-03-21,97859.0,Teclado,Sur,Pedro,Online
2022-01-21,54954.0,Teclado,,Pedro,Distribuidor
2022-05-24,13049.0,Laptop,Sur,Juan,Online
2024-11-22,14150.0,Laptop,,Pedro,Tienda
2024-05-16,809.0,Monitor,Centro,María,Tienda
2022-07-22,64728.0,,,Juan,Tienda
2024-10-17,82038.0,,Sur,Pedro,Tienda
2024-03-08,47830.0,Teclado,Centro,Juan,Online
2023-07-01,39756.0,Laptop,Centro,Ana,Tienda
2024-08-14,275604.0,Monitor,Centro,Ana,Tienda
2022-08-19,84440.0,Monitor,Centro,Ana,Distribuidor
2024-08-11,63225.0,Teclado,Centro,Luis,Distribuidor
2023-05-05,80812.0,Monitor,Norte,Pedro,Tienda
2023-08-01,38724.0,Teclado,Centro,María,Online
2024-07-17,145540.0,Teclado,Norte,Ana,Online
2024-10-14,45299.0,Teclado,Sur,Juan,Tienda
2022-01-27,6660.0,Laptop,Centro,Pedro,Online
2022-08-30,74645.0,Mouse,Sur,Pedro,Distribuidor
2023-03-29,8516.0,Teclado,Centro,Luis,Tienda
2024-10-05,86379.0,Monitor,Centro,Ana,Tienda
2024-04-07,76436.0,,Centro,María,
2022-08-14,37869.0,Teclado,Norte,,Tienda
2024-02-19,47071.0,Laptop,Norte,María,Tienda
2024-02-03,69032.0,Laptop,Norte,,Online
2023-01-21,96871.0,Mouse,Norte,Ana,Online
2024-09-18,117576.0,Mouse,Norte,Luis,Online
2024-08-12,113075.0,Monitor,,María,Online
2023-11-30,39048.0,Laptop,,Ana,Online
2022-06-16,103038.0,Teclado,Sur,Ana,
2022-07-09,12770.0,Laptop,Sur,Luis,Tienda
2024-06-14,81956.0,,Centro,Juan,Distribuidor
2023-01-27,43781.0,Monitor,Sur,,Tienda
2024-12-13,57834.0,Laptop,Centro,Luis,Tienda
2024-12-02,97523.0,Mouse,Norte,Pedro,Tienda
2022-09-15,105725.0,Laptop,Centro,Luis,Online
2024-08-13,64727.0,Mouse,Norte,Luis,Distribuidor
2022-09-10,74671.0,Mouse,Norte,Juan,Tienda
2024-12-18,89151.0,Laptop,Norte,Juan,Tienda
2023-12-28,70707.0,Mouse,Sur,Pedro,Distribuidor
2024-05-30,92178.0,Laptop,Sur,María,Online
2023-02-05,117922.0,Laptop,Sur,Pedro,Online
2022-05-14,139638.0,Teclado,Sur,María,Online
2024-01-05,78136.0,Mouse,,Ana,Distribuidor
2022-07-06,45821.0,Mouse,Norte,Luis,Tienda
2022-01-17,24603.0,Teclado,Centro,Luis,Tienda
2024-04-01,79826.0,Laptop,Norte,Juan,Online
2024-02-15,1450.0,Mouse,Norte,,Distribuidor
2024-10-09,112210.0,Teclado,Centro,María,Online
2022-07-20,54324.0,Laptop,Centro,María,Tienda
2024-12-05,38737.0,Laptop,Norte,María,Tienda
2022-05-15,147438.0,Monitor,Centro,Luis,Online
2022-03-21,106666.0,Laptop,Centro,Ana,Online
2022-02-07,154062.0,Monitor,Norte,Ana,Online
2024-01-18,131562.0,Teclado,Centro,Luis,Tienda
2023-03-29,24279.0,Teclado,Norte,Ana,
2024-02-29,97374.0,Mouse,,María,Tienda
2023-02-06,95240.0,Laptop,Centro,Luis,Tienda
2022-04-19,67150.0,,Norte,Juan,Online
2023-04-16,109951.0,Mouse,Sur,María,Distribuidor
2024-01-24,702.0,Laptop,Norte,Pedro,Distribuidor
2023-10-16,23140.0,Monitor,,Juan,Tienda
2024-10-17,84307.0,Mouse,,Ana,Tienda
2022-01-05,130326.0,Laptop,Centro,María,Online
2024-06-04,115414.0,Teclado,Centro,Ana,Online
2024-11-17,106447.0,Monitor,Centro,Juan,Online
2023-12-27,45682.0,,,María,Tienda
2024-05-21,64616.0,Monitor,,Pedro,Online
2023-05-20,93565.0,,Centro,Luis,Tienda
2023-01-15,71330.0,Teclado,Centro,María,Tienda
2022-10-04,42569.0,Mouse,Sur,Pedro,Online
2024-11-28,127484.0,Laptop,Centro,Ana,Online
2023-01-15,36375.0,Mouse,Norte,María,Online
2022-07-25,21834.0,Laptop,Sur,Ana,Online
2024-03-02,60799.0,Monitor,Sur,Juan,Online
2024-02-13,83700.0,Teclado,Norte,Pedro,Tienda
